x	y	z	RNA Polymerase II Promoter Escape
252	283	30	1
181	284	30	2
220	284	30	1
225	284	30	1
236	284	30	1
241.666666666667	284.666666666667	31	1
249	284	30	1
253	284	30	1
254	284	30	2
211	285	30	2
223	285	30	2
236	285	30	2
245	285.666666666667	31	2
248	285	30	1
252	285	30	1
205	286	30	2
206	286	30	1
226	286	30	2
228	286	30	1
240	286	30	1
241	286	30	3
243	286	30	1
244	286	30	1
245	286	30	2
248	286	30	2
251	286	30	1
252	286	30	1
256	286	30	1
207	287	30	1
237	287.5	30.5	1
243	287	30	3
246	287	30	1
254	287	30	1
255	287	30	1
199	288	30	1
226	288	30	1
228	288	30	1
231	288	30	2
232	288	30	1
233	288	30	1
237	288	30	1
238	288	30	1
248	288	30	1
249	288	30	2
250	288	30	1
252	288	30	1
184	289	30	1
199	289	30	2
200	289	30	2
221	289	30	1
223	289	30	1
224	289	30	1
226	289	30	1
230	289	30	1
231	289	30	3
233	289	30	1
234	289	30	1
245	289	30	1
246	289	30	1
247	289	30	1
250	289	30	1
252	289	30	3
198	290	30	1
220	290	30	2
225	290	30	2
226	290	30	1
231	290	30	1
235	290	30	1
236	290	30	1
239	290	30	1
240	290	30	1
244	290	30	1
245	290	30	1
248	290	30	1
225	291	30	1
226	291	30	3
229	291	30	1
238	291	30	1
246	291	30	1
197	292	30	1
199	292	30	1
228	292	30	2
231	292	30	1
232	292	30	1
237	292	30	1
238	292	30	2
245	292	30	1
248	292	30	3
221	293	30	1
224	293	30	2
225	293	30	1
234	293	30	1
239	293	30	1
243	293	30	1
244	293	30	1
189	294	30	1
210	294	30	2
220	294	30	1
221	294	30	2
227	294	30	1
229	294	30	1
230	294	30	1
232	294	30	2
240	294	30	2
245	294	30	1
246	294	30	2
250	294	30	1
257	294	30	1
197	295	30	1
220	295	30	2
224	295	30	1
244	295	30	1
247	295	30	1
252	295	30	2
255	295	30	1
256	295	30	1
257	295	30	1
186	296	30	1
233	296	30	1
234	296	30	1
235	296	30	1
237	296	30	1
242	296	30	1
243	296	30	1
244	296	30	1
253	296	30	1
232	297	30	1
241	297	30	1
243	297	30	1
252	297	30	1
215	298	30	1
220	298	30	1
221	298	30	2
224	298	30	2
227	298	30	2
231	298	30	1
232	298	30	1
236	298	30	1
241	298	30	1
245	298	30	2
248	298	30	2
229	299	30	1
241	299	30	1
244	299	30	1
247	299	30	1
252	299	30	1
214	300	30	2
228	300	30	1
230	300	30	1
231	300	30	2
233	300	30	1
