x	y	z	NoRC negatively regulates rRNA expression
244	293	30	2
245	293	30	1
251	293	30	2
253	293	30	1
189	294	30	1
225	294	30	1
227	294	30	1
232	294	30	1
233	294	30	2
236	294	30	2
237	294	30	2
238	294	30	1
245	294	30	1
257	294	30	2
197	295	30	1
221	295	30	1
222	295	30	1
225	295	30	2
226	295	30	1
227	295	30	2
247	295	30	1
250	295	30	1
257	295	30	1
220	296	30	1
222	296	30	1
232	296	30	1
233	296	30	1
235	296	30	1
239	296	30	3
244	296	30	1
247	296	30	1
223	297	30	1
229	297	30	1
232	297	30	1
238	297	30	1
239	297	30	1
245	297	30	1
246	297	30	2
225	298	30	2
226	298	30	1
227	298	30	1
231	298	30	2
232	298	30	1
235	298	30	1
241	298	30	1
242	298	30	1
246	298	30	2
247	298	30	1
252	298	30	1
218	299	30	1
224	299	30	1
227	299	30	1
229	299	30	1
231	299	30	1
236	299	30	1
246	299	30	1
247	299	30	1
250	299	30	1
252	299	30	2
218	300	30	1
223	300	30	1
225	300	30	1
226	300	30	1
240	300	30	1
244	300	30	1
249	300	30	1
224	301	30	1
227	301	30	3
230	301	30	1
236	301	30	1
240	301	30	1
242	301	30	1
243	301	30	1
249	301	30	1
223	302	30	1
226	302	30	1
229	302	30	3
239	302	30	1
242	302	30	1
247	302	30	1
223	303	30	1
239	303	30	1
243	303	30	1
244	303	30	1
234	304	30	1
235	304	30	1
236	305	30	1
237	305	30	1
240	305	30	1
236	306	30	1
238	306	30	2
226	250	31	1
227	250	31	1
215	251	31	1
229	251	31	1
225	252	31	2
235	252	31	1
193	253	31	2
215	253	31	2
217	253	31	1
225	253	31	1
233	253	31	1
193	254	31	1
227	254	31	1
232	254	31	2
238	254	31	1
215	255	31	1
226	255	31	2
229	255	31	1
233	255	31	1
234	255	31	1
237	255	31	1
240	255	31	2
216	256	31	1
177	257	31	1
202	257	31	1
216	257	31	1
218	257	31	1
188	258	31	1
230	258	31	2
233	258	31	1
240	258	31	1
188	259	31	2
209	259	31	1
231	259	31	1
235	259	31	1
242	259	31	1
220	260	31	1
224	260	31	2
239	260	31	1
242	260	31	2
245	260	31	1
246	260	31	1
193	261	31	1
216	261	31	1
217	261	31	1
225	261	31	1
226	261	31	1
227	261	31	1
230	261	31	1
234	261	31	1
235	261	31	1
244	261	31	1
195	262	31	1
210	262	31	1
211	262	31	1
217	262	31	2
218	262	31	1
219	262	31	1
221	262	31	1
222	262	31	1
225	262	31	1
233	262	31	1
248	262	31	1
249	262	31	2
194	263	31	2
198	263	31	1
211	263	31	1
216	263	31	3
217	263	31	1
219	263	31	1
220	263	31	1
232	263	31	2
234	263	31	1
178	264	31	1
184	264	31	1
190	264	31	1
194	264	31	1
195	264	31	1
199	264	31	2
210	264	31	1
215	264	31	2
227	264	31	1
228	264	31	2
238	264	31	2
244	264	31	2
246	264	31	1
248	264	31	1
249	264	31	1
185	265	31	1
194	265	31	1
196	265	31	2
200	265	31	1
215	265	31	1
238	265	31	2
243	265	31	3
245	265	31	1
250	265	31	2
187	266	31	1
189	266	31	1
197	266	31	2
198	266	31	1
212	266	31	1
213	266	31	1
215	266	31	2
221	266	31	1
231	266	31	1
233	266	31	1
236	266	31	1
244	266	31	1
247	266	31	1
248	266	31	1
194	267	31	1
195	267	31	1
199	267	31	1
223	267	31	1
227	267	31	1
228	267	31	1
229	267	31	2
231	267	31	1
247	267	31	1
193	268	31	3
203	268	31	2
210	268	31	1
213	268	31	1
215	268	31	1
219	268	31	1
231	268	31	1
232	268	31	3
234	268	31	1
188	269	31	1
193	269	31	1
198	269	31	1
201	269	31	1
206	269	31	1
230	269	31	1
232	269	31	1
234	269	31	3
240	269	31	1
248	269	31	1
252	269	31	1
181	270	31	2
198	270	31	1
216	270	31	1
217	270	31	1
231	270	31	1
239	270	31	1
240	270	31	1
244	270	31	1
247	270	31	1
171	271	31	1
174	271	31	2
175	271	31	1
176	271	31	1
184	271	31	1
185	271	31	2
198	271	31	2
199	271	31	1
213	271	31	1
225	271	31	1
231	271	31	1
235	271	31	1
237	271	31	1
241	271	31	1
249	271	31	3
199	272	31	1
203	272	31	1
204	272	31	1
208	272	31	1
210	272	31	2
216	272	31	2
218	272	31	1
227	272	31	1
230	272	31	2
239	272	31	1
240	272	31	1
250	272	31	2
254	272	31	1
181	273	31	1
207	273	31	1
209	273	31	2
210	273	31	1
215	273	31	1
229	273	31	1
234	273	31	1
235	273	31	1
238	273	31	2
239	273	31	1
248	273	31	1
179	274	31	1
180	274	31	1
185	274	31	2
203	274	31	1
205	274	31	1
211	274	31	1
214	274	31	1
229	274	31	2
232	274	31	1
237	274	31	1
244	274	31	2
247	274	31	1
182	275	31	3
184	275	31	1
206	275	31	1
229	275	31	1
238	275	31	1
250	275	31	3
176	276	31	2
198	276	31	1
205	276	31	2
236	276	31	2
240	276	31	1
241	276	31	1
244	276	31	2
252	276	31	1
174	277	31	1
209	277	31	1
235	277	31	1
239	277	31	1
244	277	31	1
249	277	31	1
174	278	31	1
177	278	31	1
180	278	31	1
205	278	31	1
208	278	31	2
240	278	31	1
242	278	31	2
243	278	31	1
245	278	31	1
178	279	31	1
205	279	31	1
206	279	31	1
207	279	31	1
208	279	31	2
242	279	31	1
243	279	31	1
247	279	31	2
254	279	31	1
175	280	31	1
208	280	31	1
220	280	31	1
221	280	31	1
226	280	31	1
232	280	31	1
236	280	31	2
237	280	31	2
251	280	31	1
176	281	31	1
206	281	31	1
210	281	31	1
219	281	31	1
234	281	31	1
241	281	31	1
243	281	31	1
245	281	31	1
250	281	31	2
206	282	31	1
220	282	31	1
221	282	31	1
233	282	31	2
234	282	31	1
235	282	31	2
239	282	31	1
241	282	31	2
247	282	31	1
248	282	31	1
252	282	31	1
176	283	31	1
179	283	31	1
184	283	31	1
209	283	31	1
218	283	31	1
221	283	31	1
235	283	31	1
241	283	31	1
242	283	31	2
243	283	31	1
244	283	31	1
252	283	31	1
253	283	31	2
