x	y	z	Hemostasis
247	269	30	1
248	269	30	2
249	269	30	2
250	269	30	1
252	269	30	1
178	270	30	2
186	270	30	1
187	270	30	2
194	270	30	1
196	270	30	1
198	270	30	1
200	270	30	1
201	270	30	1
205	270	30	1
207	270	30	2
214	270	30	1
216	270	30	1
217	270	30	1
223	270	30	1
227	270	30	2
231	270	30	2
232	270	30	1
233	270	30	1
234	270	30	1
235	270	30	1
244	270	30	1
245	270	30	1
249	270	30	2
250	270	30	1
181	271	30	1
183	271	30	1
194	271	30	1
198	271	30	1
200	271	30	1
201	271	30	2
204	271	30	1
208	271	30	1
211	271	30	1
212	271	30	2
215	271	30	2
225	271	30	1
244	271	30	1
249	271	30	1
180	272	30	2
182	272	30	2
184	272	30	1
203	272	30	1
206	272	30	1
207	272	30	1
227	272	30	1
233	272	30	2
235	272	30	1
236	272	30	1
244	272	30	1
245	272	30	1
247	272	30	1
250	272	30	1
182	273	30	1
183	273	30	2
204	273	30	2
206	273	30	1
210	273	30	1
213	273	30	1
227	273	30	2
231	273	30	1
232	273	30	1
235	273	30	1
240	273	30	1
241	273	30	1
177	274	30	3
181	274	30	1
183	274	30	1
185	274	30	1
208	274	30	1
211	274	30	1
212	274	30	1
