x	y	z	Calmodulin induced events
244	270	30	1
249	270	30	2
187	271	30	1
201	271	30	1
212	271	30	1
239	271	30	1
247	271	30	1
185	272	30	1
197	272	30	1
203	272	30	1
240	272	30	1
242	272	30	1
245	272	30	1
183	273	30	1
204	273	30	2
210	273	30	1
214	273	30	1
180	274	30	1
181	274	30	1
203	274	30	1
208	274	30	1
209	274	30	1
211	274	30	2
238	274	30	1
241	274	30	2
247	274	30	1
179	275	30	2
183	275	30	1
185	275	30	1
235	275	30	1
249	275	30	1
179	276	30	2
207	276	30	1
238	276	30	2
239	276	30	1
241	276	30	1
249	276	30	1
174	277	30	1
205	277	30	1
206	277	30	1
237	277	30	3
175	278	30	1
190	278	30	1
208	278	30	1
226	278	30	1
237	278	30	2
243	278	30	1
248	278	30	1
221	279	30	1
236	279	30	2
237	279	30	1
238	279	30	1
240	279	30	1
244	279	30	1
176	280	30	1
178	280	30	1
233	280	30	1
239	280	30	1
247	280	30	1
179	281	30	2
218	281	30	2
237	281	30	3
242	281	30	1
249	281	30	1
251	281	30	2
252	281	30	1
172	282	30	1
181	282	30	1
220	282	30	1
223	282	30	3
238	282	30	1
239	282	30	1
241	282	30	1
245	282	30	1
251	282	30	1
254	282	30	1
179	283	30	1
244	283	30	2
249	283	30	1
251	283	30	1
254	283	30	1
180	284	30	1
181	284	30	2
219	284	30	1
226	284	30	1
245	284	30	1
253	284	30	1
227	285	30	1
233	285	30	1
246	285	30	1
248	285	30	1
255	285	30	1
256	285	30	2
206	286	30	1
219	286	30	1
225	286	30	2
228	286	30	1
229	286	30	1
231	286	30	1
234	286	30	1
235	286	30	1
236	286	30	1
239	286	30	1
241	286	30	1
245	286	30	1
252	286	30	1
257	286	30	1
219	287	30	3
228	287	30	1
241	287	30	1
250	287	30	1
236	288	30	2
237	288	30	1
238	288	30	1
239	288	30	2
245	288	30	1
246	288	30	1
247	288	30	1
248	288	30	1
249	288	30	2
250	288	30	1
200	289	30	1
226	289	30	1
228	289	30	1
235	289	30	1
238	289	30	1
240	289	30	1
246	289	30	1
256	289	30	2
224	290	30	2
241	290	30	2
242	290	30	1
250	290	30	1
222	291	30	1
229	291	30	1
238	291	30	1
239	291	30	1
255	291	30	1
197	292	30	1
198	292	30	1
199	292	30	1
213	292	30	1
220	292	30	1
229	292	30	1
236	292	30	2
238	292	30	1
246	292	30	1
248	292	30	1
222	293	30	1
223	293	30	1
224	293	30	1
225	293	30	1
227	293	30	1
240	293	30	1
245	293	30	1
253	293	30	1
221	294	30	1
225	294	30	1
229	294	30	1
232	294	30	1
235	294	30	1
241	294	30	2
244	294	30	1
245	294	30	1
249	294	30	1
252	294	30	1
253	294	30	2
221	295	30	1
224	295	30	2
234	295	30	1
241	295	30	1
244	295	30	1
250	295	30	1
256	295	30	1
257	295	30	1
220	296	30	1
244	296	30	1
220	297	30	1
221	297	30	1
240	297	30	1
241	297	30	2
243	297	30	1
244	297	30	2
222	298	30	1
225	298	30	1
240	298	30	1
247	298	30	1
248	298	30	1
250	298	30	1
218	299	30	1
225	299	30	1
236	299	30	1
241	299	30	1
218	300	30	1
223	300	30	1
227	300	30	1
231	300	30	1
232	300	30	1
233	300	30	2
241	300	30	1
242	300	30	1
251	300	30	1
224	301	30	1
225	301	30	2
230	301	30	1
